step_no,step_desc,empty_col1,step_qty,step_unit,component_item_code,notes_1,notes_2,empty_col2,empty_col2,blend_part_num,ref_no,prepared_by,prepared_date,lbs_gal
16,Ensure that any agitators used have been turned off.,,,,,,,,,16,,3-171A,VW,2018-01-30,6.63
1,Gather the required materials.,,,,,,,,,1,14800.B,6-006B,VW,,6.7
2,Verify that the vessel is clean.,,,,,,,,,2,14800.B,6-006B,VW,,6.7
3,Change all sock filters and water trap filters.,,,,,,,,,3,14800.B,6-006B,VW,,6.7
4,Set aside 100gal of Calumet 400-500<1% LPA 170.,,100.0,gal,100507TANKO,,,,,4,14800.B,6-006B,VW,,6.7
5,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,,-99.04242921013413,gal,100507TANKO,,,,,5,14800.B,6-006B,VW,,6.7
6,Start agitator at 160 RPM.,,,,,,,,,6,14800.B,6-006B,VW,,6.7
7,Add Enzyme through 5 and 1 micron filter stacked.,,0.0335,lbs,100433,,,,,7,14800.B,6-006B,VW,,6.7
8,Add Afton 6455,,0.0402,lbs,100547,,,,,8,14800.B,6-006B,VW,,6.7
9,Add Ethanox 4737R,,0.20099999999999998,lbs,100548,,,,,9,14800.B,6-006B,VW,,6.7
10,Flush pump and add the extra 100gal of Calumet.,,100.0,gal,100507TANKO,,,,,10,14800.B,6-006B,VW,,6.7
11,Agitate for 1 hour.,,,,,,,,,11,14800.B,6-006B,VW,,6.7
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,12,14800.B,6-006B,VW,,6.7
13,Ensure that any agitators used have been turned off.,,,,,,,,,13,14800.B,6-006B,VW,,6.7
14,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,,,,,,,14,14800.B,6-006B,VW,,6.7
1,Gather the required materials.,,,,,,,,,1,15600H.B,,VW,2010-08-16,7.2
2,Verify that the mix vessel is clean. ,,,,,,,,,2,15600H.B,,VW,2010-08-16,7.2
3,Apply GHS label to mix vessel.,,,,,,,,,3,15600H.B,,VW,2010-08-16,7.2
4,Charge vessel with Motiva Star 4.,,0.9945,gal,100427.0,,,,,4,15600H.B,,VW,2010-08-16,7.2
5,Start agitator. ,,,,,,,,,5,15600H.B,,VW,2010-08-16,7.2
6,Add Infineum V385.,,0.003,gal,100422.0,,,,,6,15600H.B,,VW,2010-08-16,7.2
7,Add Elco 102.,,0.0025,gal,100412.0,,,,,7,15600H.B,,VW,2010-08-16,7.2
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,8,15600H.B,,VW,2010-08-16,7.2
9,Ensure that any agitators used have been turned off.,,,,,,,,,9,15600H.B,,VW,2010-08-16,7.2
10,Remove GHS label from mix vessel.,,,,,,,,,10,15600H.B,,VW,2010-08-16,7.2
1,Gather the required materials.,,,,,,,,,1,16300.B,5-124B,VW,2017-01-03,7.32
2,Verify that the vessel is clean.,,,,,,,,,2,16300.B,5-124B,VW,2017-01-03,7.32
3,Apply GHS label to the mix vessel.,,,,,,,,,3,16300.B,5-124B,VW,2017-01-03,7.32
4,Charge kettle with ArmacoPrima 220(Motiva Star 6),,0.747,gal,,,,,,4,16300.B,5-124B,VW,2017-01-03,7.32
5,Under agitation add Motiva Star 12,,0.25,gal,,,,,,5,16300.B,5-124B,VW,2017-01-03,7.32
6,Add Elco 102,,0.003,gal,,,,,,6,16300.B,5-124B,VW,2017-01-03,7.32
7,Agitate for 60 minutes.,,,,,,,,,7,16300.B,5-124B,VW,2017-01-03,7.32
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,8,16300.B,5-124B,VW,2017-01-03,7.32
9,Remove GHS label from the mix vessel.,,,,,,,,,9,16300.B,5-124B,VW,2017-01-03,7.32
10,Ensure that any agitators used have been turned off.,,,,,,,,,10,16300.B,5-124B,VW,2017-01-03,7.32
1,Gather the required materials.,,,,,,,,,1,16600.B,5-135A,VW,2017-05-15,7.12
2,Verify that the mix vessel is clean. ,,,,,,,,,2,16600.B,5-135A,VW,2017-05-15,7.12
3,Apply GHS label to mix vessel. ,,,,,,,,,3,16600.B,5-135A,VW,2017-05-15,7.12
4,Charge vessel with Motiva Star 6 (Aramco Prima 220).,,879.7472,lbs,100428M6,,,,,4,16600.B,5-135A,VW,2017-05-15,7.12
5,Start agitator. ,,,,,,,,,5,16600.B,5-135A,VW,2017-05-15,7.12
6,Add Infineum S816.,,328.944,lbs,100508,,,,,6,16600.B,5-135A,VW,2017-05-15,7.12
7,Agitate for 20 minutes.,,,,,,,,,7,16600.B,5-135A,VW,2017-05-15,7.12
8,Add Calumet 400-500<1% LPA 170.,,213.6,lbs,100507TANKO,,,,,8,16600.B,5-135A,VW,2017-05-15,7.12
9,Add Chromatint Green HF,,1.7088,lbs,100418,,,,,9,16600.B,5-135A,VW,2017-05-15,7.12
10,Agitate for 20 minutes.,,,,,,,,,10,16600.B,5-135A,VW,2017-05-15,7.12
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,11,16600.B,5-135A,VW,2017-05-15,7.12
12,Ensure that any agitators used have been turned off.,,,,,,,,,12,16600.B,5-135A,VW,2017-05-15,7.12
13,Remove GHS label from mix vessel.,,,,,,,,,13,16600.B,5-135A,VW,2017-05-15,7.12
