billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
17997404,241133,WM Synthetic 10W30               black bottle / black cap,28100.B,6-1gal,160,BLACK HD Fstyle Gal,502411 (BLK),1.2,050200,64.35916666666667,JB LINE,77
17997545,241133,WM Premium TCW3                 black bottle / black cap     pre-printed,100501K,6-1gal,360,BLACK HD Fstyle Gal,502411 (BLK),2.25,050200WM,65.55916666666667,JB LINE,78
17997560,241133,WM DFI TCW3                         black bottle / black cap,100501K,6-1gal,108,BLACK HD Fstyle Gal,502411 (BLK),0.8,050200,67.80916666666667,JB LINE,79
071600N,241133,Black Streak Remover                     ,83200.B,4-1gal,100,White HD Fstyle Gal,502403     (wht),0.8,604000,68.60916666666667,JB LINE,80
030200EA-KITS,241263,SB EGAF 1x1   TRAY PACK 100,601013PA,1-1gal,100,White HD Fstyle Gal,502403     (wht),0.33,,69.40916666666666,JB LINE,81
030200EA,241263,SB EGAF 1x1   uses 030200EA-KITS,,1-1gal.,100,,,0,604097,69.73916666666666,JB LINE,82
030300,241269,LABELS EGAF 50/50 Prediluted (green)         ,601009,6-1gal,468,White HD Fstyle Gal,502403     (wht),2.9250000000000003,050200,69.73916666666666,JB LINE,83
043810,241133,ITW Low Conductivity  corner protectors / DOUBLE WRAP PALLETS ,300355.B,4-1gal,1500,White HD Fstyle Gal,502403     (wht),6.25,604000,72.66416666666666,JB LINE,84
080500N,241133,Bilge Cleaner ,602001,4-1gal,100,White HD Fstyle Gal,502403     (wht),0.6,604000,78.91416666666666,JB LINE,85
089732PC,241207,Seasafe Boat Wash Canadian      ,602000,6-32oz,50,TransBlue oval pvc 32oz,607521  (wht),0.4,604005,79.51416666666665,JB LINE,86
071701FF-KITS,241168,Toilet Treatment Lemon   TRAY PACK 160                                                                                 ,602010,1gal filled bottle,160,Natural HD Fstyle Gal,502403     (wht),0.4,,79.91416666666666,JB LINE,87
071701FF-4,241168,Toilet Treatment Lemon AMAZON FF  uses 071701FF-KITS  outer carton 604098                                                                           ,,4-1gal single.,40,,,0,604097,80.31416666666667,JB LINE,88
071701,241133,Toilet Treatment Lemon                                                                                    ,602010,6-1gal,50,Natural HD Fstyle Gal,502403     (wht),0.4,050200,80.31416666666667,JB LINE,89
10948768,241133,WM P.O. Salt Off Concentrate     ,94444CON.B,4-1gal,300,White HD Fstyle Gal,502403     (wht),1.33,604000,80.71416666666667,JB LINE,90
,,,,,,,,1.5,,82.04416666666667,JB LINE,91
,,,,,,,,1.5,,83.54416666666667,JB LINE,92
,,,,,,,,1.5,,85.04416666666667,JB LINE,93
084106N,241009,SB Green LET 4pk - CLAM PACK   (need to run 084106N-KITS),,4-4oz clam,500,,,3.7037037037037033,604046,0,KITS,1
084106N,241133,SB Green LET 4pk - CLAM PACK   (need to run 084106N-KITS),,4-4oz clam,300,,,2.222222222222222,604046,3.7037037037037033,KITS,2
084105N,241133,SB Red LET 4pk - CLAM PACK     (need to run 084105N-KITS),,4-4oz clam,300,,,2.222222222222222,604046,5.925925925925926,KITS,3
11012663,241133,WM Toilet Tissue 2ply 12-4pks - printed bag / 71850A1 TWO PLY    32cs per pallet (8 per layer X 4 high),,12-4pk,172,,,0,604068,8.148148148148147,KITS,4
084104N,241008,SB Black LET 4pk - CLAM PACK     (need to run 084104N-KITS)       ,,4-4oz clam,500,,,3.7037037037037033,604046,8.148148148148147,KITS,5
084104N,241009,SB Black LET 4pk - CLAM PACK     (need to run 084104N-KITS)      ,,4-4oz clam,500,,,3.7037037037037033,604046,11.851851851851851,KITS,6
080116PC,241131,Marine Polish Canadian  (use 15cs - 080116UN),,6-16oz,30,,,0.08333333333333333,604001,15.555555555555554,KITS,7
