Part_Number,Description,Lot_Number,Quantity,date_created,Line,id
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221233,2925.0,2022-07-14,Dm,175
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221232,2925.0,2022-07-14,Dm,176
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221231,2925.0,2022-07-14,Dm,177
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221230,2925.0,2022-07-14,Dm,178
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221229,2925.0,2022-07-14,Dm,179
052003G39/51GRN,BLEND-RVAF -200 Green (39/51),G221228,2925.0,2022-07-14,Dm,180
052003G39/51GRN,BLEND-RVAF -200 Green (39/51),G221227,2925.0,2022-07-14,Dm,181
052001G24/29GRN,BLEND-RVAF-100 (24%/29%) Green,G221226,2925.0,2022-07-14,Dm,182
052001G24/29GRN,BLEND-RVAF-100 (24%/29%) Green,G221225,2925.0,2022-07-14,Dm,183
052001G24/29RED,BLEND-RVAF-100 (24%/29%) RED,G221224,2925.0,2022-07-14,Dm,184
052001G24/29RED,BLEND-RVAF-100 (24%/29%) RED,G221223,2925.0,2022-07-14,Dm,185
052001G24/29RED,BLEND-RVAF-100 (24%/29%) RED,G221222,2925.0,2022-07-14,Dm,186
052009G10/P18,BLEND-RVAF -60 (10%PG / 18%GLY,G221221,5100.0,2022-07-14,Hx,187
052009G10/P18,BLEND-RVAF -60 (10%PG / 18%GLY,G221220,5100.0,2022-07-14,Hx,188
052001G24/29GRN,BLEND-RVAF-100 (24%/29%) Green,G221219,5100.0,2022-07-14,Hx,189
602607CONC,BLEND-WM Descaler CONC,G221218,175.0,2022-07-14,Prod,190
602607CONC,BLEND-WM Descaler CONC,G221217,175.0,2022-07-14,Prod,191
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221216,1975.0,2022-07-13,Dm,192
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221215,2925.0,2022-07-13,Dm,193
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221214,2925.0,2022-07-13,Dm,194
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221213,2925.0,2022-07-13,Dm,195
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221212,2925.0,2022-07-13,Dm,196
052000G8/16,BLEND-RVAF -50 (PG8% /GLYC16%),G221211,2925.0,2022-07-13,Dm,197
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,G221210,5100.0,2022-07-13,Hx,198
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,G221209,5100.0,2022-07-13,Hx,199
235826-35.B,BLEND-Splash/S'Tech +32 nonrep,G221208,5100.0,2022-07-13,Hx,200
234526-35.B,BLEND-SPLASH -20 ALL SEASON,G221207,5100.0,2022-07-13,Hx,201
234526-35.B,BLEND-SPLASH -20 ALL SEASON,G221206,5100.0,2022-07-13,Hx,202
234526-35.B,BLEND-SPLASH -20 ALL SEASON,G221205,5100.0,2022-07-13,Hx,203
19903USA.B,BLEND-TK NU # 1 USA (Caustic),G221204,150.0,2022-07-13,Prod,204
601011DIL,"BLEND-150,000 MILE AF DILUTED",G221202,265.0,2022-07-13,Prod,205
602017,BLEND-DECK CLEANER,G221201,2350.0,2022-07-13,Prod,206
602011,BLEND-TOILET TREAT PINE,G221200,150.0,2022-07-13,Prod,207
601011DIL,"BLEND-150,000 MILE AF DILUTED",G221199,265.0,2022-07-13,Prod,208
602037,BLEND-MILDEW STAIN RMVR KPK,G221198,2500.0,2022-07-13,Prod,209
602037,BLEND-MILDEW STAIN RMVR KPK,G221197,2500.0,2022-07-13,Prod,210
93100XBEE.B,BLEND-XBEE FUEL TREATMENT,G221196,4840.0,2022-07-09,Totes,211
19902.B,BLEND-TEAK NU PART 2 (Acid),G221195,1150.0,2022-07-09,Prod,212
27200.B,BLEND-80w90 & Hypoid 90wt,G221194,950.0,2022-07-09,Prod,213
27200.B,BLEND-80w90 & Hypoid 90wt,G221193,2800.0,2022-07-09,Prod,214
27200.B,BLEND-80w90 & Hypoid 90wt,G221192,2800.0,2022-07-09,Prod,215
602011,BLEND-TOILET TREAT PINE,G221191,150.0,2022-07-09,Prod,216
