id,blend_item_code,step_number,step_description,component_item_code
615,33500.B,7,Add BTNN80 slowly. ,30176.0
616,33500.B,8,Add Bitrex.,100511.0
623,33600.B,4,Charge vessel with DI water.,30143.0
624,33600.B,5,Ensure that the DI water pump is turned off.,601015.0
625,33600.B,6,Add EG,601015.0
627,33600.B,8,Add Liquidtint Yellow AF Dye,30122.0
628,33600.B,9,Add BTNN80 slowly. ,30176.0
629,33600.B,10,Add Bitrex.,100511.0
777,54900.B,4,Charge vessel with DI water.,30143.0
780,54900.B,7,Add Carbopol EZ-2 Resin,30158.0
782,54900.B,9,Add Caustic Soda SLOWLY.,50007.0
784,54900.B,11,Add gluconic acid 50%,30159.0
787,54900.B,14,Add Hydrochloric acid SLOWLY.,30050.0
903,58200.B,4,Charge vessel with DI water.,30143.0
905,58200.B,6,Add Thetapel AM 5010 SLOWLY,31038.0
906,58200.B,7,Add Busan 1264,30146.0
915,601008,4,Charge vessel with EG.,601015.0
917,601008,6,Add DI Water,30143.0
925,601009GOLD.B,4,Charge vessel with EG.,601015.0
927,601009GOLD.B,6,Add MetalGuard A 81 at 1 gallon per minute,50015.0
928,601009GOLD.B,7,Add DI Water,30143.0
929,601009GOLD.B,8,Add phosphoric acid,240079.0
932,601009GOLD.B,11,Add Liquidtint Yellow AF,30122.0
933,601009GOLD.B,12,Add Bitrex Solution,100511.0
941,601009,4,Charge vessel with EG.,601015.0
943,601009,6,Add MetalGuard A 81 at 1 gallon per minute,50015.0
944,601009,7,Add DI Water,30143.0
946,601009,9,Add phosphoric acid,240079.0
949,601009,12,Add Chromatint Green 0218 dye,240011.0
950,601009,13,Add Uranine C,240087.0
951,601009,14,Add Bitrex Solution,100511.0
959,601011DIL,4,Charge vessel with EG.,601015.0
961,601011DIL,6,Add MetalGuard A 65 slowly,602021.0
962,601011DIL,7,Add DI Water,30143.0
964,601011DIL,9,Add Bitrex Solution,100511.0
965,601011DIL,10,Add Chromatint Orange 1073 liquid dye,100460.0
