billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
081700NC,240637,Hull Cleaner Canadian    120gr rig                                                                              ,602003,4-1gal,75,120gr Natural RIG,38MMACID,0.5,502406,35.370000000000005,JB LINE,39
081700EUR,240487,Hull Cleaner European      120gr rig                                                         ,602003,4-1gal,24,120gr Natural RIG,38MMACID,0.33,502406,35.870000000000005,JB LINE,40
15026370,240755,West Marine Boat Soap     now uses  RIG BOTTLE  ,602046,4-1gal,500,Natural 180gr RIG,502403     (wht),2.0833333333333335,502406,36.2,JB LINE,41
093900FF-KITS,240728,Salt Off Concentrate AMAZON FF  WHITE RIG / TRAY PACK 1440                 ,94444CON.B,1gal filled bottle,1440,140gr WHITE RIG,502403     (wht),1.75,,38.28333333333334,JB LINE,42
093900FF,240728,Salt Off Concentrate AMAZON FF    uses 093900FF-KITS    outer carton 604100,,4-1gal single.,360,,,0,604099,40.03333333333334,JB LINE,43
 , , ,,,,,,1.5,,40.03333333333334,JB LINE,44
 , , ,,,,,,1.5,,41.53333333333334,JB LINE,45
089950,240238,"M2DG - SMALL Space Slow Rls (10gr)  2ea-89950P1CFS, clams A/B - NO SPONGE   ",,2pk-6pk,345,,,2.75,604077,0,KITS,1
084106N,240238,SB Green LET 4pk - CLAM PACK   (need to run 084106N-KITS)        ,,4-4oz clam,300,,,2.222222222222222,604046,2.75,KITS,2
084107N,240238,SB White LET 4pk - CLAM PACK     (need to run 084107N-KITS)        ,,4-4oz clam,300,,,2.222222222222222,604046,4.972222222222221,KITS,3
19970,240238,"Car Odor Eliminator FR 6pk       uses ONE 10FRP1CFS, clam, sponge",,6pk,400,,,0,604077,7.194444444444443,KITS,4
089970,240417,"M2DG - Fast Release 6pk                         uses ONE 10FRP1CFS, clam, sponge",,6pk,125,,,0,604077,7.194444444444443,KITS,5
079950,240676,"RV Odor Eliminator Fast Rls (10gr)  2ea - 10FRP1CFS, clams A/B - TWO SPONGES per clam  ",,2pk-6pk,100,,,0,604077,7.194444444444443,KITS,6
087308,240416,Plastic Polish             (use 50cs - 087308UN),,12-8oz,50,,,0.27777777777777773,,7.194444444444443,KITS,7
087308WK,240416,Plastic Polish WK     (use 15cs - 087308UN) / euro pallet,,6-8oz,30,,,0.08333333333333333,604072,7.4722222222222205,KITS,8
082314NP,240635,Presoftened Boat Wax European       (use 20cs - 082314UN),,6-14oz,40,,,0,604015RT,7.555555555555554,KITS,9
087208WK,240416,Clear Plastic Restorer  WK     (use 20cs - 087208UN) / euro pallet ,,6-8oz,40,,,0.1111111111111111,604072,7.555555555555554,KITS,10
091016SP,240117,Vinyl Polish & Restorer S/P            use 30cs - 083416UN) / euro pallet ,,6-16oz,60,,,0.16666666666666666,604001,7.666666666666664,KITS,11
091016WK,240118,Vinyl Polish & Restorer WATSKI  (use 40cs - 083416UN) / euro pallet ,,6-16oz,80,,,0.2222222222222222,604001,7.833333333333331,KITS,12
091016WK,240416,Vinyl Polish & Restorer WATSKI    (use 25cs - 083416UN) / euro pallet ,,6-16oz,50,,,0.13888888888888887,604001,8.055555555555554,KITS,13
083416WK,240119,Inflatable Bt & Fndr Rstr WATSKI  (use 25cs - 083416UN) / euro pallet ,,6-16oz,50,,,0.13888888888888887,604001,8.194444444444443,KITS,14
091016PC,240119,Vinyl Polish & Restorer Canadian (use 15cs - 083416UN),,6-16oz,30,,,0.08333333333333333,604001,8.333333333333332,KITS,15
091016GF,240119,Vinyl Polish & Restorer G/F           (use 15cs - 083416UN) / euro pallet ,,6-16oz,30,,,0.08333333333333333,604001,8.416666666666666,KITS,16
091016GF,240416,Vinyl Polish & Restorer G/F            (use 15cs - 083416UN) / euro pallet ,,6-16oz,30,,,0.08333333333333333,604001,8.5,KITS,17
